ID_REF,GSM119628,GSM119629,GSM119630,GSM119631,GSM119632,GSM119633,GSM119634,GSM119635,GSM119636,GSM119637,GSM119638,GSM119639,GSM119640,GSM238799,GSM238800,GSM238801,GSM238802,GSM238803,GSM238804,GSM238805,GSM238806,GSM238807,GSM238808
217538_at,64.262596,3.2132545,44.436657,17.531496,26.25787,26.50213,71.26919,2.8875456,9.770367,6.7847433,7.6073585,12.702161,8.589325,90.8971,99.4987,114.986,92.7721,148.376,128.504,140.05,131.807,84.0514,82.5836
217749_at,327.46725,224.74982,188.24805,401.7037,309.02206,409.44318,330.08112,237.81656,359.62448,386.35156,213.13597,236.97447,360.40686,43.3626,79.8234,22.4152,58.5153,114.127,73.9108,112.146,109.465,86.0899,62.3406
217815_at,471.18994,371.42157,297.28378,508.53885,584.72107,459.0439,395.07104,497.44482,559.0492,684.2231,529.67395,566.07324,564.9318,222.309,211.549,177.163,211.083,182.648,174.455,197.982,221.87,133.704,218.817
217860_at,1334.459,858.78394,669.2135,1090.8445,1022.4404,1135.3899,1227.3435,1465.2432,957.80695,1528.2236,1377.693,848.4505,1036.5264,500.803,296.438,383.948,275.01,129.796,209.005,345.658,362.928,344.791,411.083
217936_at,434.58807,428.65118,621.6694,439.7388,510.1772,497.22308,524.8791,514.9004,468.1963,391.09033,467.07254,355.5839,395.68594,119.006,237.077,184.626,114.19,228.397,73.6331,105.349,129.561,51.0087,169.251
218330_s_at,245.39577,422.57062,294.86603,247.19292,169.9627,277.60623,292.71097,239.10489,227.5525,318.77774,287.37515,217.66475,217.55315,744.031,862.577,891.481,670.139,1064.14,677.043,562.64,813.463,475.815,908.912
218381_s_at,120.15332,155.65558,147.28429,152.34149,81.798965,217.67873,374.17035,134.4663,95.0066,117.48258,117.60079,228.27438,150.33769,870.876,443.842,413.882,566.415,682.351,463.437,605.916,471.59,511.571,571.222
218521_s_at,272.19162,234.8023,397.51984,309.78333,206.6409,301.83496,290.92374,239.9117,247.41284,169.69095,190.54521,313.59845,158.5826,525.996,792.974,710.439,524.263,865.236,860.069,791.684,1062.33,927.528,443.804
218859_s_at,219.73087,177.56549,164.89897,191.56213,231.73659,336.57684,550.20667,309.18344,350.30725,94.72199,87.01731,181.26138,171.95198,717.718,758.59,755.121,808.57,601.499,495.327,969.985,1095.59,1000.26,605.486
219193_at,183.13885,209.60504,325.7578,196.71191,195.13277,199.69264,167.24727,235.47769,235.87704,231.41844,171.78532,236.17043,222.59871,115.885,67.7665,72.7317,140.834,9.58871,8.90503,22.203,30.0724,43.1247,73.3251
219549_s_at,14316.948,8859.218,3324.1938,11906.614,13099.597,9726.475,6973.0273,13456.951,11005.147,14930.875,16007.141,12135.878,16092.525,3531,2387.29,2036.96,2039.74,1265.6,1593.94,1208.12,1249.81,1750.57,1266.6
220155_s_at,406.982,478.1939,263.85574,381.37143,349.2236,332.3897,340.37863,467.31152,259.43448,486.59894,377.79297,336.50772,508.93375,141.889,186.894,124.274,106.008,22.514,46.7958,160.719,104.378,166.897,203.899
220617_s_at,782.01465,446.95682,504.1743,633.45844,479.04446,533.6082,440.81482,523.2973,556.5502,447.84644,621.7495,561.4212,461.0922,131.518,104.076,105.838,78.6147,128.158,56.9708,154.196,26.5857,187.438,104.91
221006_s_at,93.064224,201.25258,104.23359,113.54786,108.54923,125.33313,73.01999,103.32908,108.43387,106.148964,102.34236,116.73111,113.988556,300.035,358.057,451.335,333.216,179.091,351.018,252.735,299.78,224.415,367.187
221745_at,125.73841,79.55603,12.35367,130.25272,12.175465,111.607895,133.37065,42.675766,78.87067,58.574017,7.673632,132.35913,51.395325,120.558,297.259,246.727,278.626,182.511,298.148,256.363,278.397,292.071,237.515
221765_at,180.13908,81.18289,83.21336,143.42581,167.72559,146.74858,62.12451,83.78842,148.36676,131.3446,64.94005,159.7427,68.26799,424.179,454.648,360.502,297.619,447.102,728.668,368.728,345.459,509.791,319.313
222313_at,18.676346,100.7784,89.68739,51.805702,47.74803,67.4469,62.250687,73.13244,62.09085,44.34546,4.7723227,43.074047,15.143541,210.416,236.286,265.028,133.604,377.13,206.448,270.746,105.088,262.568,326.367
222633_at,250.6958,488.32043,470.54138,453.63052,343.6733,489.7521,195.33981,600.1883,531.99866,415.92123,374.32135,379.4004,449.9953,1668.61,2345.79,2433.38,3079.96,4494.37,2350.84,2528.74,3864.9,1987.67,1493.65
222820_at,265.03867,458.71988,358.43738,273.9766,287.48615,243.95157,201.67267,249.45181,250.49664,143.42693,216.32668,237.16072,233.83664,49.696,61.2191,61.3229,90.2959,64.4662,77.3525,40.0907,47.7688,50.7659,14.4552
223214_s_at,395.64114,262.82278,221.60747,264.296,219.90324,312.13876,237.38548,278.28006,213.87561,262.31528,280.3397,286.0089,262.12387,135.391,146.469,148.199,103.07,163.32,92.3131,118.252,102.328,176.157,162.183
224212_s_at,177.95001,146.44826,225.51779,205.45572,173.2031,211.37263,402.55304,156.89343,240.97191,188.64627,118.85053,169.02753,134.27968,675.334,541.537,368.661,618.653,778.067,738.401,753.06,767.076,578.002,335.639
224651_at,347.74136,508.2544,113.44538,442.01724,392.33188,464.4564,245.7089,319.83652,466.50613,340.41254,289.22662,221.14522,234.66454,994.657,633.854,911.047,803.347,829.705,969.804,1212.5,1483.2,1059.51,715.5
224726_at,166.45248,67.904144,156.64725,166.5947,130.45935,94.26648,104.47191,75.95396,196.55116,250.33086,98.21568,112.33064,117.39192,445.235,421.329,616.972,406.845,601.651,777.569,920.025,486.253,466.638,581.237
224771_at,149.60959,243.24562,139.56601,220.33324,89.873,230.57253,480.954,152.58401,242.80183,75.943855,162.70839,225.60786,125.191795,636.749,1586.68,778.079,1250.17,1189.28,843.358,1335.39,1670.82,1223.57,931.532
225167_at,261.75906,170.72133,326.87494,213.16725,110.04528,217.42453,118.94764,125.41576,138.61221,104.19164,224.15572,171.24832,150.54364,409.673,372.449,388.901,512.263,601.074,396.853,414.719,593.529,484.446,561.584
225197_at,625.4815,842.58887,534.10114,560.24963,1072.6122,903.2513,792.27655,684.54614,676.6127,800.6033,697.8062,633.851,737.39526,106.738,213.36,111.365,169.98,185.772,127.74,160.35,114.884,170.465,169.191
225234_at,225.18024,250.75087,270.50363,304.38144,149.04071,141.80994,187.32898,195.18558,138.04555,157.89452,325.12793,183.18608,243.32526,484.876,618.61,411.007,349.976,548.89,498.063,705.147,592.513,484.024,546.733
225431_x_at,186.35571,203.55196,169.28049,185.75423,146.7062,100.76688,105.82191,94.680466,155.35477,97.50093,197.12827,174.76004,107.94395,316.853,316.063,445.494,267.591,338.128,384.464,311.853,421.525,310.309,372.425
225483_at,456.50027,379.17282,379.3479,437.74402,262.64005,259.90475,389.53052,424.28995,378.9938,416.938,468.91293,428.6501,431.94965,286.665,247.445,220.897,187.058,74.9823,192.042,151.818,160.613,85.9809,201.394
225821_s_at,685.3094,414.9266,759.98254,571.87463,543.59296,522.8428,344.37643,445.19516,627.3493,558.1752,607.8655,645.5153,571.4047,226.362,162.608,236.351,281.861,299.263,228.73,126.033,182.853,315.211,317.323
226143_at,840.63605,848.443,686.3544,752.88245,854.01373,982.2819,1241.6171,479.8927,937.2163,616.07935,628.77716,1068.9221,559.14386,2019.71,1255.92,1302.63,1617.97,1732.63,1653.85,1602.02,2028.85,1907.84,1543.14
226158_at,219.67255,156.45563,192.94176,256.96576,228.05504,444.83188,226.73538,198.26395,296.03763,213.04909,187.1185,236.97612,175.46565,523.34,406.33,633.187,480.523,708.221,731.078,510.684,435.823,449.679,728.96
226675_s_at,2368.9778,5284.128,4785.9087,1590.175,1747.0133,4323.676,8608.263,1053.8389,2714.8596,825.39197,694.3568,3465.251,590.3323,12498,13862.3,11676.6,14246,23515.8,15844.7,18028.1,24241.7,20493.6,16131.9
227612_at,568.1277,933.5126,647.38293,473.40128,231.00673,835.3312,1072.1558,358.1434,429.38773,321.89102,385.93137,452.15552,466.56226,3021.26,2659.3,2093.27,4657.65,6379.75,3199.41,5088.21,5630.26,4091.5,2950.23
227712_at,111.56487,154.64967,25.84124,68.4678,151.52531,54.695194,146.12659,86.104416,139.54984,98.86219,185.84682,82.96537,108.21093,312.642,280.754,260.149,392.189,351.013,241.249,359.694,382.901,264.556,256.621
227931_at,218.08664,514.4518,278.0101,243.787,152.99983,326.19824,262.18484,269.44995,334.55737,123.00803,225.75934,303.09625,215.21265,672.194,732.661,793.671,616.125,810.191,928.71,951.897,878.01,716.344,1014.86
228007_at,478.52118,515.1976,848.91046,618.3752,434.38095,826.68677,289.14294,406.1846,632.37476,452.29678,522.27203,389.0618,449.7388,971.205,1351.55,875.284,1464.45,1268.3,1203.63,980.285,950.751,1419.77,1150.97
228556_at,82.407265,58.31442,13.886805,51.852802,42.842304,41.322796,153.61848,71.72819,106.92696,48.612507,68.68635,112.37821,49.529625,174.453,224.642,180.455,165.513,186.274,185.462,149.289,238.009,218.556,136.571
228686_at,44.1881,78.40565,151.78627,104.927704,54.229088,107.35049,102.448845,106.08051,79.78516,8.674598,9.680898,65.36645,53.39156,217.556,266.886,227.292,139.044,326.041,152.611,260.229,260.147,219.521,280.285
229353_s_at,8205.084,10784.8955,8716.926,6497.6665,6625.8057,9678.538,8917.261,6619.7266,10996.988,6035.7163,6771.7656,7101.6265,6288.482,16701.8,22803.2,18314.9,32244.1,28976.9,26749.6,43339.6,23865.3,27411.1,16744.8
229520_s_at,68.21134,108.02695,127.30782,64.726295,101.1074,95.90768,13.242268,66.3698,130.74318,32.66681,85.64773,91.2566,71.28004,474.122,327.698,346.448,264.958,250.808,314.4,405.198,359.643,313.067,299.924
230179_at,1705.2896,1468.6176,872.00757,1203.2888,873.90576,1417.6986,1462.273,1106.7037,1151.9868,1423.9452,1426.7347,1624.2948,1538.5491,3961.96,3232.07,3348.63,2418.85,2471.03,2938.85,3687.67,3371.87,2272.94,1996.54
230427_s_at,207.69601,210.22176,137.92342,132.44691,189.45735,102.55934,133.62444,156.19281,221.40451,135.84937,166.7985,163.89374,159.69083,72.8269,34.3071,84.2592,82.801,68.359,64.5831,82.3807,56.2051,48.8049,45.1939
230779_at,245.55315,357.65637,226.1642,266.81616,278.56885,372.99765,275.34564,197.70988,256.39703,190.62851,186.77379,222.62148,228.69844,972.327,744.438,742.994,462.557,1041.35,886.61,1141.17,1058.8,845.294,819.8
231234_at,83.812454,143.63124,29.450785,135.42606,51.338062,121.18592,64.823784,86.95456,69.03709,69.147156,89.55447,141.66353,81.21959,176.133,210.142,261.417,194.01,308.332,208.254,264.497,283.527,193.694,208.953
231875_at,541.3887,289.8095,189.2564,431.26923,278.4311,331.5738,348.27582,444.0605,364.59766,288.93735,256.2894,251.75734,303.1518,1013.39,1099.02,1075.7,1182.76,909.035,621.543,1093.83,923.258,730.55,420.157
232264_at,7.796452,214.69313,345.02374,168.51854,168.31964,232.0163,240.7539,93.59706,77.802826,17.279129,107.994385,230.53792,71.86898,677.267,565.747,628.095,433.494,690.48,827.589,742.383,870.722,707.963,459.401
232511_at,145.0745,169.13622,338.80692,139.55826,190.48967,266.0441,351.4105,48.422165,101.32612,74.466255,61.303402,203.36084,68.03654,826.197,766.001,644.262,513.36,419.321,589.919,973.459,933.576,499.25,717.659
232940_s_at,92.69801,132.01573,113.68733,81.07031,55.032227,170.70103,174.85617,84.66827,114.47844,36.768284,130.64372,112.92909,39.738678,231.283,398.882,464.478,305.008,245.374,250.315,261.328,335.078,324.711,222.86
234505_at,70.94704,201.4045,128.67274,208.75995,107.4865,75.43958,17.914413,111.36852,101.247246,92.73844,88.32862,190.58531,72.07106,350.808,363.399,286.318,490.494,537.273,389.715,649.384,413.628,367.315,337.963
235672_at,186.98825,247.1722,358.40906,171.84898,138.68239,261.77884,108.45504,77.79751,222.65245,116.92921,54.168346,222.17491,101.23976,677.153,642.117,468.128,456.567,611.352,363.511,620.964,651.455,741.027,620.921
235918_x_at,223.10873,220.09795,212.2314,154.42175,141.62662,242.39018,346.4952,169.36044,231.09453,168.62677,115.57385,251.23683,149.38095,396.713,496.69,473.065,593.451,531.286,866.816,632.262,442.611,568.081,662.661
235954_at,84.08103,61.13368,121.15489,22.279812,1.2719747,86.533905,125.11692,6.0621743,105.47714,19.564005,64.17167,69.22861,44.78668,116.288,201.191,199.564,269.201,222.125,248.215,180.399,283.816,210.123,312.544
236254_at,93.29332,241.01466,134.47139,93.450005,62.958843,138.37685,188.07903,111.15873,103.56356,105.24343,61.54651,101.24255,87.34694,352.413,303.735,374.767,544.053,340.063,354.924,721.851,472.393,434.073,295.836
236268_at,69.86124,237.8281,128.27867,155.87335,102.6732,174.70514,217.41467,151.04688,98.59553,122.705635,145.86833,105.69204,62.952682,453.219,362.5,544.768,353.49,550.634,402.563,596.34,484.658,692.24,450.314
238651_at,159.54254,126.01414,328.40118,166.73055,132.04224,264.26468,252.94154,88.91181,114.45978,69.43592,95.07845,164.91763,94.51766,424.474,461.777,415.989,456.165,568.486,393.159,532.041,535.488,520.864,281.076
238736_at,252.9979,202.7424,203.4078,209.0621,193.67369,172.86995,153.69217,135.74905,305.5878,121.67133,158.98886,244.95172,152.4983,682.944,563.184,588.817,397.298,516.565,409.071,330.556,362.439,584.557,418.974
238908_at,57.34688,175.78838,69.6174,45.9222,49.404736,95.42617,98.02559,74.20442,80.18162,56.383644,46.50778,70.31315,36.30713,158.896,220.809,206.66,245.915,95.6121,242.736,221.588,268.476,229.068,217.991
239049_at,157.31416,168.38632,387.1709,113.746346,213.13872,357.5861,177.123,113.17436,217.80228,48.18213,116.73943,107.83827,133.41895,382.32,405.46,561.63,440.248,589.339,519.888,622.764,516.862,404.161,509.135
239095_at,854.583,610.64166,433.44922,528.545,438.36813,228.12024,211.29291,521.83716,532.4386,386.95563,340.4667,430.65878,552.23083,1248.88,1229.98,969.635,1963.66,1790.87,1491.38,1540.26,1747.9,1042.62,870.594
239533_at,342.80878,370.6055,111.873634,286.40457,65.24761,193.36258,324.7115,212.15381,300.55612,173.09004,231.81564,257.0378,204.95679,1353.37,1271.23,919.504,1850.84,1524.03,2516.56,1412.96,2313.09,1873.25,1159.71
239971_at,48.70514,77.82434,14.767792,1.2752094,23.706055,62.420177,51.659904,0.8765132,10.66629,1.1275964,56.74472,33.985435,14.482248,106.006,93.8299,78.5865,148.432,125.179,112.427,88.3347,155.399,130.722,131.54
240180_at,113.9639,138.14319,175.79858,74.26155,63.37565,97.28279,213.98825,52.02683,80.35156,65.464195,113.59009,152.01393,49.460106,431.033,522.77,542.081,200.633,269.451,450.029,309.857,321.303,355.952,385.684
240239_at,33.07462,33.457092,81.95293,6.3690104,37.86905,60.5746,37.929817,47.5908,13.399887,2.3749824,45.890205,2.2064044,5.692832,73.8784,92.0298,119.175,104.28,106.353,95.8282,152.807,148.276,132.648,98.1988
241060_x_at,48.29857,65.982475,109.99798,71.627045,46.200813,120.54822,90.79367,58.693516,98.06338,43.645817,30.404871,126.03225,54.44136,668.508,379.004,578.987,331.008,444.77,365.347,316.167,654.496,443.335,499.064
241216_at,25.743124,146.25462,76.75102,3.9304569,40.76498,54.88591,47.949535,37.51996,20.599373,13.498757,105.50302,35.58007,32.218716,149.453,212.791,213.84,209.498,170.743,191.822,256.629,264.182,169.144,296.655
242066_at,2.539043,15.424494,7.2676296,2.708143,35.898235,9.412921,7.971913,4.203066,6.0763083,2.9136817,6.179386,4.89711,2.0693154,81.584,134.813,70.2579,78.1584,65.7207,201.581,83.0979,134.069,81.4261,121.215
242343_x_at,360.26422,458.49362,439.63052,550.8777,237.74727,920.9571,452.3642,243.95187,365.9256,63.517586,129.1792,542.92206,176.57603,1165.15,1228.19,1016.04,972.434,1417.7,1410.96,2162.11,1381.3,1165.79,1156.08
242498_x_at,6.869079,56.8768,58.844276,27.743507,27.074324,43.733585,82.50564,20.82437,41.858017,2.3793466,9.250857,33.537025,3.1901264,113.774,136.19,137.154,164.181,80.3138,178.243,179.442,152.777,260.475,116.416
242829_x_at,300.4793,395.63593,303.65875,208.66779,61.91417,212.57411,334.12006,104.04543,120.17172,42.164814,119.04514,203.65067,201.55928,506.322,673.626,1257,880.953,1410.73,808.071,1126.71,1746.87,1293.95,828.316
243664_at,83.99979,41.231373,23.545092,59.932514,41.919014,112.678,29.415857,53.57069,85.46332,52.584564,38.557293,65.5856,38.32483,150.403,140.604,222.384,161.067,160.964,167.102,220.386,179.137,205.746,77.4877
243713_at,7.994098,104.24571,99.45495,36.80708,20.478014,29.746933,107.14805,36.083096,57.395054,20.383904,65.38563,59.98473,6.5758047,154.917,147.222,156.81,195.504,116.321,159.643,154.751,249.77,192.104,157.803
243826_at,14.479304,52.644817,81.79868,2.1463408,24.188644,50.040504,75.4235,12.761956,23.23057,1.7483273,15.062315,57.82773,18.684256,158.132,134.679,151.869,153.222,225.986,221.601,170.635,227.904,291.908,119.185
243904_at,559.24005,521.8933,339.34778,435.27002,345.0165,602.9178,589.638,356.9929,514.2881,470.95502,356.40747,585.8916,409.5333,1200.2,1222.69,971.335,845.168,1879.18,1362.44,941.799,1901.38,1673.36,1233.62
243993_at,162.12863,81.39588,344.1221,179.0793,61.91265,284.81354,220.48521,153.94266,175.04164,79.273766,131.38745,311.44272,99.10017,628.935,445.458,559.774,552.179,605.516,425.849,725.888,611.2,412.212,443.186
244300_at,50.027943,47.330933,133.48714,64.00845,53.68387,67.31682,2.902593,39.965282,62.74213,49.880867,52.621033,63.055817,41.504005,217.602,375.161,342.913,203.58,172.506,402.125,334.351,370.354,348.506,213.183
244868_at,7.233442,25.472874,79.281586,22.769674,6.996523,35.454376,15.533517,2.9164453,3.6103787,11.200076,10.924355,8.024978,36.271656,95.9955,100.855,88.2327,117.095,56.3698,184.683,114.007,117.716,95.1204,154.61
36612_at,506.66714,666.22296,383.8258,373.3508,316.1218,571.7875,262.43912,484.16257,473.79626,395.54575,320.5257,335.07968,351.1933,1051.94,1132.37,1010.75,991.452,937.283,1176.14,1031.37,980.905,708.053,1183.65
38398_at,1099.7544,1276.0563,829.0797,1251.1598,776.11334,911.5251,1105.2284,999.1683,798.37225,1283.2018,1099.2426,1011.08856,1114.9894,814.604,654.215,486.431,504.48,445.682,479.932,531.781,384.35,399.497,459.913
AFFX-HSAC07/X00351_3_at,15498.531,18321.475,9087.825,16339.441,14209.359,16042.154,25157.016,16872.326,14025.889,17724.088,19120.527,22139.23,18741.3,4463.48,7940.93,5709.99,6663.31,5372.4,4721.95,4994.76,4948.37,4661.4,5673.65
